ticker,name,ISIN,CUSIP,Inception Date,Gross Expense Ratio,* Net Expense Ratio,Asset Class,Distribution Frequency,Primary Exchange,Primary Index,Primary Index Ticker,infer
WIP,SPDR® FTSE International Government Inflation-Protected Bond ETF,US78464A4904,78464A490,Mar 13 2008,0.50%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,FTSE International Inflation-Linked Securities Select Index,CFIIWILC,spdr
DGT,SPDR® Global Dow ETF,US78464A7063,78464A706,Sep 25 2000,0.50%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,The Global Dow,GDOWD,spdr
GLDM,SPDR® Gold MiniSharesSM Trust,US98149E2046,98149E204,Jun 25 2018,0.18%,-,Alternative,-,NYSE ARCA EXCHANGE,LBMA Gold Price PM,-,spdr
GLD,SPDR® Gold Shares,US78463V1070,78463V107,Nov 18 2004,0.40%,-,Alternative,-,NYSE ARCA EXCHANGE,LBMA Gold Price PM,-,spdr
SYE,SPDR® MFS Systematic Core Equity ETF,US78467V8063,78467V806,Jan 08 2014,0.60%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Index,SPTR,spdr
SYG,SPDR® MFS Systematic Growth Equity ETF,US78467V8899,78467V889,Jan 08 2014,0.60%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Russell 1000 Growth Index,RU10GRTR,spdr
SYV,SPDR® MFS Systematic Value Equity ETF,US78467V8717,78467V871,Jan 08 2014,0.60%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Russell 1000 Value Index,RU10VATR,spdr
CWI,SPDR® MSCI ACWI ex-US ETF,US78463X8487,78463X848,Jan 10 2007,0.34%,0.30%,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI ACWI ex USA Index,NDUEACWZ,spdr
LOWC,SPDR® MSCI ACWI Low Carbon Target ETF,US78463X1946,78463X194,Nov 25 2014,0.30%,0.20%,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI ACWI Low Carbon Target Index,M1WDLCTR,spdr
EFAX,SPDR® MSCI EAFE Fossil Fuel Reserves Free ETF,US78470E1064,78470E106,Oct 24 2016,0.30%,0.20%,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI EAFE ex Fossil Fuels Index,MXCXSGA,spdr
QEFA,SPDR® MSCI EAFE StrategicFactorsSM ETF,US78463X4346,78463X434,Jun 04 2014,0.30%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI EAFE Factor Mix A-Series Index,M1EAQMR,spdr
EEMX,SPDR® MSCI Emerging Markets Fossil Fuel Reserves Free ETF,US78470E2054,78470E205,Oct 24 2016,0.30%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI Emerging Markets ex Fossil Fuels Index,MXCXSGB,spdr
QEMM,SPDR® MSCI Emerging Markets StrategicFactorsSM ETF,US78463X4262,78463X426,Jun 04 2014,0.30%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI Emerging Markets Factor Mix A-Series Index,M1EFQMR,spdr
QUS,SPDR® MSCI USA StrategicFactorsSM ETF,US78468R8126,78468R812,Apr 15 2015,0.15%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI USA Factor Mix A-Series Capped Index,M1USQMAR,spdr
QWLD,SPDR® MSCI World StrategicFactorsSM ETF,US78463X4189,78463X418,Jun 04 2014,0.30%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI World Factor Mix A-Series Index,M1WOQMR,spdr
HYMB,SPDR® Nuveen Bloomberg Barclays High Yield Municipal Bond ETF,US78464A2841,78464A284,Apr 13 2011,0.35%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Municipal Yield Index,SPMUHT,spdr
TFI,SPDR® Nuveen Bloomberg Barclays Municipal Bond ETF,US78468R7219,78468R721,Sep 11 2007,0.30%,0.23%,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Municipal Managed Money 1-25 Years Index,I34301US,spdr
SHM,SPDR® Nuveen Bloomberg Barclays Short Term Municipal Bond ETF,US78468R7391,78468R739,Oct 10 2007,0.20%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Managed Money Municipal Short Term Index,LMM1TR,spdr
XNTK,SPDR® NYSE Technology ETF,US78464A1025,78464A102,Sep 25 2000,0.35%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,NYSE Technology Index,NYTECHTR,spdr
SPAB,SPDR® Portfolio Aggregate Bond ETF,US78464A6495,78464A649,May 23 2007,0.04%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Aggregate Bond Index,LBUSTRUU,spdr
SPBO,SPDR® Portfolio Corporate Bond ETF,US78464A1447,78464A144,Apr 06 2011,0.06%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Corporate Bond Index,LUACTRUU,spdr
SPDW,SPDR® Portfolio Developed World ex-US ETF,US78463X8891,78463X889,Apr 20 2007,0.04%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,S&P Developed Ex-U.S. BMI Index,STBMWUU,spdr
SPEM,SPDR® Portfolio Emerging Markets ETF,US78463X5095,78463X509,Mar 20 2007,0.11%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,S&P Emerging BMI Index,SEMUN,spdr
SPEU,SPDR® Portfolio Europe ETF,US78463X1037,78463X103,Oct 15 2002,0.09%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,STOXX Europe Total Market Index,BKXV,spdr
SPHY,SPDR® Portfolio High Yield Bond ETF,US78468R6062,78468R606,Jun 18 2012,0.15%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,ICE BofA US High Yield Index,H0A0,spdr
SPIB,SPDR® Portfolio Intermediate Term Corporate Bond ETF,US78464A3757,78464A375,Feb 10 2009,0.07%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Intermediate Corporate Bond Index,LD06TRUU,spdr
SPTI,SPDR® Portfolio Intermediate Term Treasury ETF,US78464A6727,78464A672,May 23 2007,0.06%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 3-10 Year U.S. Treasury Index,LT31TRUU,spdr
SPLB,SPDR® Portfolio Long Term Corporate Bond ETF,US78464A3674,78464A367,Mar 10 2009,0.07%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Long Term Corporate Bond Index,LD07TRUU,spdr
SPTL,SPDR® Portfolio Long Term Treasury ETF,US78464A6644,78464A664,May 23 2007,0.06%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Long U.S. Treasury Index,LUTLTRUU,spdr
SPMB,SPDR® Portfolio Mortgage Backed Bond ETF,US78464A3831,78464A383,Jan 15 2009,0.07%,0.06%,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. MBS Index,LUMSTRUU,spdr
SPGM,SPDR® Portfolio MSCI Global Stock Market ETF,US78463X4759,78463X475,Feb 27 2012,0.09%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,MSCI ACWI IMI Index,MIMUAWON,spdr
SPTM,SPDR® Portfolio S&P 1500® Composite Stock Market ETF,US78464A8053,78464A805,Oct 04 2000,0.03%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Composite 1500 Index,SPTRSUPR,spdr
SPMD,SPDR® Portfolio S&P 400® Mid Cap ETF,US78464A8475,78464A847,Nov 08 2005,0.05%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P MidCap 400 Index,SPTRMDCP,spdr
SPLG,SPDR® Portfolio S&P 500® ETF,US78464A8541,78464A854,Nov 08 2005,0.03%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Index,SPXT,spdr
SPYG,SPDR® Portfolio S&P 500® Growth ETF,US78464A4094,78464A409,Sep 25 2000,0.04%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Growth Index,SPTRSGX,spdr
SPYD,SPDR® Portfolio S&P 500® High Dividend ETF,US78468R7888,78468R788,Oct 21 2015,0.07%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 High Dividend Index,SPXHDUT,spdr
SPYV,SPDR® Portfolio S&P 500® Value ETF,US78464A5083,78464A508,Sep 25 2000,0.04%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Value Index,SPTRSVX,spdr
SPSM,SPDR® Portfolio S&P 600® Small Cap ETF,US78468R8530,78468R853,Jul 08 2013,0.05%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P SmallCap 600 Index,SPTRSMCP,spdr
SPSB,SPDR® Portfolio Short Term Corporate Bond ETF,US78464A4748,78464A474,Dec 16 2009,0.07%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. 1-3 Year Corporate Bond Index,LF99TRUU,spdr
SPTS,SPDR® Portfolio Short Term Treasury ETF,US78468R1014,78468R101,Nov 30 2011,0.06%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 1-3 Year U.S. Treasury Index,LT01TRUU,spdr
SPIP,SPDR® Portfolio TIPS ETF,US78464A6560,78464A656,May 25 2007,0.12%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Government Inflation-Linked Bond Index,BCIT1T,spdr
ONEV,SPDR® Russell 1000 Low Volatility Focus ETF,US78468R7540,78468R754,Dec 02 2015,0.20%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Russell 1000 Low Volatility Focused Factor Index,R1VFFTR,spdr
ONEO,SPDR® Russell 1000 Momentum Focus ETF,US78468R7623,78468R762,Dec 02 2015,0.20%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Russell 1000 Momentum Focused Factor Index,R1MFFTR,spdr
ONEY,SPDR® Russell 1000 Yield Focus ETF,US78468R7706,78468R770,Dec 02 2015,0.20%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,Russell 1000 Yield Focused Factor Index,R1YFFTR,spdr
EFIV,SPDR® S&P 500® ESG ETF,US78468R5312,78468R531,Jul 27 2020,0.10%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 ESG Index,SPXESUT,spdr
SPY,SPDR® S&P 500® ETF Trust,US78462F1030,78462F103,Jan 22 1993,0.0945%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P 500 Index,SPXT,spdr
EDIV,SPDR® S&P Emerging Markets Dividend ETF,US78463X5335,78463X533,Feb 23 2011,0.49%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Emerging Markets Dividend Opportunities Index,SPGTEDUN,spdr
CNRG,SPDR® S&P Kensho Clean Power ETF,US78468R6559,78468R655,Oct 22 2018,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho Clean Power Index,SAPKPOWER,spdr
ROKT,SPDR® S&P Kensho Final Frontiers ETF,US78468R6302,78468R630,Oct 22 2018,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho Final Frontiers Index,SAPKEXPLORE,spdr
FITE,SPDR® S&P Kensho Future Security ETF,US78468R6716,78468R671,Dec 26 2017,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,S&P Kensho Future Security Index,SAPKSECURE,spdr
